area,bathrooms,building_type,date,deal_type,department,foreign_id,id,image_urls,images,location,price,rooms,title,url
58 Mts,1 Baños,Apartamento,2023-06-10 13:21:26.202448,Venta,Montevideo,23517928,0,https://imagenes.gallito.com/1024x768/48529909.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48529909.jpg', 'path': 0, 'checksum': 'c6a3d108a17328fd364da27137f97b13', 'status': 'downloaded'}]",Centro, U$S 159.000,2,"Vendo apartamento 2 dormitorios, entrega 03/2023, Centro",https://www.gallito.com.uy/vendo-apartamento-2-dormitorios-entrega-032023-centro-inmuebles-23517928
70 Mts,2 Baños,Apartamento,2023-06-10 13:21:27.320996,Venta,Montevideo,23337848,4,https://imagenes.gallito.com/1024x768/230215143121320.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230215143121320.jpg', 'path': 4, 'checksum': '92ed928f16b931cde612fb9ddda533d8', 'status': 'downloaded'}]",Pocitos, U$S 205.000,2,Muy buen Apartamento con Terraza,https://www.gallito.com.uy/muy-buen-apartamento-con-terraza-inmuebles-23337848
80 Mts,2 Baños,Apartamento,2023-06-10 13:21:27.052742,Venta,Montevideo,23752741,2,https://imagenes.gallito.com/1024x768/230514021957910.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230514021957910.jpg', 'path': 2, 'checksum': '50d53b1f4e12d531d8c9e28cc41891e6', 'status': 'downloaded'}]",Cordon, U$S 165.000,2,"OPORTUNIDAD, PARA DISFRUTAR DE UN AMPIO APARTAMENTO",https://www.gallito.com.uy/oportunidad-para-disfrutar-de-un-ampio-apartamento-inmuebles-23752741
54 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.309007,Venta,Montevideo,23493674,3,https://imagenes.gallito.com/1024x768/221201113455270.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221201113455270.jpg', 'path': 3, 'checksum': '10d3a787edb721a95947cd5440c60006', 'status': 'downloaded'}]",Cordon, U$S 127.500,1,VENTA APARTAMENTO CORDON 1 DORMITORIO CON TERRAZA A ESTRENAR,https://www.gallito.com.uy/venta-apartamento-cordon-1-dormitorio-con-terraza-a-estrenar-inmuebles-23493674
315 Mts,Más de 3 baños,Apartamento,2023-06-10 13:21:27.545311,Venta,Maldonado,21950507,5,https://imagenes.gallito.com/1024x768/40692946.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/40692946.jpg', 'path': 5, 'checksum': '43cf43dc774637bbdcee7328d73d6ed7', 'status': 'downloaded'}]",Punta Del Este, U$S 1.675.000,2,Apartamento en la Brava para la venta.,https://www.gallito.com.uy/apartamento-en-la-brava-para-la-venta-inmuebles-21950507
45 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.574283,Venta,Montevideo,23850855,7,https://imagenes.gallito.com/1024x768/230602153542600.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230602153542600.jpg', 'path': 7, 'checksum': '5814744c9548f2245e92e9b5720daceb', 'status': 'downloaded'}]",Pocitos, U$S 123.000,1,"SP- Benito Blanco y Osorio, al frente, planta baja con patio",https://www.gallito.com.uy/sp-benito-blanco-y-osorio-al-frente-planta-baja-con-patio-inmuebles-23850855
1250 Mts,3 Baños,Casa,2023-06-10 13:21:27.559135,Venta,Canelones,23885827,6,https://imagenes.gallito.com/1024x768/49288277.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49288277.jpg', 'path': 6, 'checksum': '8f6b2c0ad1be7ca3730d7c8d75944e10', 'status': 'downloaded'}]",Otra, U$S 450.000,3,Casa en Colinas de Carrasco ref. 5820...,https://www.gallito.com.uy/casa-en-colinas-de-carrasco-ref-5820-inmuebles-23885827
1 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.661334,Venta,Canelones,23381997,8,https://imagenes.gallito.com/1024x768/47155347.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47155347.jpg', 'path': 8, 'checksum': 'cfdd82d393e1858d3f467efd10d43544', 'status': 'downloaded'}]",Parque Miramar, U$S 210.000,4,Vendo Apartamento 2 Dormitorios en Parque Miramar,https://www.gallito.com.uy/vendo-apartamento-2-dormitorios-en-parque-miramar-inmuebles-23381997
166 Mts,1 Baños,Casa,2023-06-10 13:21:26.219622,Venta,Canelones,21294865,1,https://imagenes.gallito.com/1024x768/220211174542990.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220211174542990.jpg', 'path': 1, 'checksum': 'e6e5c784c989c3d9fce962808a7d0855', 'status': 'downloaded'}]",Pando, U$S 107.000,3,"Linda Casa, una planta, próximo Ruta 8, complejo A 45",https://www.gallito.com.uy/linda-casa-una-planta-proximo-ruta-8-complejo-a-45-inmuebles-21294865
69 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.927414,Venta,Montevideo,23748084,12,https://imagenes.gallito.com/1024x768/230203124551130.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230203124551130.jpg', 'path': 12, 'checksum': '5b004ef6cf0d7cd429356e11f3b82230', 'status': 'downloaded'}]",La Comercial, U$S 105.000,2,SE VENDE APTO EN EXELENTE PUNTO,https://www.gallito.com.uy/se-vende-apto-en-exelente-punto-inmuebles-23748084
