id,area,rooms,bathrooms,building_type,department_location,price
0,166.0,3.0,1,1,16.0,107000
4,500.0,3.0,4,1,176.0,627000
7,435.0,4.0,4,1,216.0,620000
6,310.0,4.0,4,1,178.0,230000
9,150.0,3.0,2,1,206.0,92000
8,458.0,2.0,1,1,2.0,149000
1,189.0,4.0,1,1,202.0,138000
10,89.0,2.0,1,1,194.0,199000
3,250.0,2.0,3,1,175.0,590000
11,120.0,3.0,1,1,5.0,130000
13,500.0,4.0,4,1,10.0,350000
12,100.0,2.0,1,1,202.0,220000
20,54.0,3.0,1,0,184.0,155000
18,54.0,1.0,1,0,184.0,127500
17,220.0,4.0,2,1,9.0,335000
2,460.0,4.0,4,1,194.0,485000
15,500.0,4.0,4,1,10.0,395000
21,45.0,1.0,1,0,210.0,123000
23,70.0,2.0,2,0,210.0,205000
25,60.0,2.0,1,0,202.0,157000
27,87.0,1.0,1,0,211.0,250000
24,69.0,3.0,2,0,202.0,190000
28,182.0,4.0,4,0,210.0,420000
26,25.0,4.0,1,0,9.0,210000
30,100.0,3.0,2,0,194.0,220000
33,73.0,2.0,2,0,210.0,184000
32,103.0,2.0,1,0,181.0,260000
34,92.0,1.0,1,0,184.0,183300
37,55.0,1.0,1,0,214.0,185000
38,64.0,2.0,1,0,181.0,109000
35,62.0,3.0,1,0,183.0,65000
39,167.0,2.0,3,0,8.0,570000
43,40.0,1.0,1,0,206.0,42000
46,42.0,1.0,1,0,189.0,119000
41,45.0,1.0,1,0,189.0,121000
42,59.0,2.0,1,0,188.0,139900
47,230.0,4.0,4,0,214.0,690000
44,90.0,3.0,3,0,178.0,170000
48,200.0,2.0,3,0,175.0,520000
45,71.0,2.0,1,0,189.0,152000
50,134.0,3.0,2,0,223.0,345000
49,58.0,2.0,1,0,178.0,159000
54,80.0,3.0,1,0,189.0,155000
53,42.0,2.0,1,0,221.0,56000
55,54.0,2.0,1,0,179.0,102960
56,38.0,1.0,1,0,189.0,121900
57,251.0,4.0,4,1,202.0,550000
60,75.0,2.0,1,0,220.0,180000
58,200.0,3.0,2,1,13.0,230000
63,500.0,4.0,4,1,12.0,590000
64,25.0,2.0,3,1,202.0,193000
67,100.0,3.0,2,1,2.0,185000
68,500.0,2.0,1,1,218.0,99500
70,500.0,4.0,3,1,172.0,398000
69,90.0,3.0,1,1,7.0,62000
71,435.0,4.0,1,1,216.0,599000
