area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
105 Mts,1 Baños,Apartamento,2023-06-05 20:16:58.597788,Venta,0,https://imagenes.gallito.com/1024x768/49185201.png,"[{'url': 'https://imagenes.gallito.com/1024x768/49185201.png', 'path': 0, 'checksum': 'e5dc886805c47cb1c209f5921a1236ab', 'status': 'downloaded'}]",Cordon, U$S 260.000,2,Apartamento 2 Dormitorios Cordón Terrazas De Magallanes,https://www.gallito.com.uy/apartamento-2-dormitorios-cordon-terrazas-de-magallanes-inmuebles-23867563
112 Mts,2 Baños,Apartamento,2023-06-05 20:16:59.171046,Venta,6,https://imagenes.gallito.com/1024x768/46999240.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46999240.jpg', 'path': 6, 'checksum': '6004dab377dbe261f6d44360359abace', 'status': 'downloaded'}]",Parque Miramar, U$S 410.000,4,Angra Lake Homes,https://www.gallito.com.uy/angra-lake-homes-inmuebles-22292349
63 Mts,2 Baños,Apartamento,2023-06-05 20:16:58.902724,Venta,1,https://imagenes.gallito.com/1024x768/220209144013490.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220209144013490.jpg', 'path': 1, 'checksum': '18c8da2b45ce35107ea1a33b3447d904', 'status': 'downloaded'}]",Buceo, U$S 195.000,2,"Apto a 5 cuadras del mar, garaje x2, impecable",https://www.gallito.com.uy/apto-a-5-cuadras-del-mar-garaje-x2-impecable-inmuebles-21285012
91 Mts,2 Baños,Apartamento,2023-06-05 20:16:59.229222,Venta,9,https://imagenes.gallito.com/1024x768/47707412.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47707412.jpg', 'path': 9, 'checksum': 'b56089c535d8a6f54579c9f949480266', 'status': 'downloaded'}]",Punta Del Este, U$S 225.000,2,"Wave Brava, apartamento de 2 dormitorios con parrillero",https://www.gallito.com.uy/wave-brava-apartamento-de-2-dormitorios-con-parrillero-inmuebles-23468321
81 Mts,1 Baños,Apartamento,2023-06-05 20:16:58.935265,Venta,2,https://imagenes.gallito.com/1024x768/230413124903570.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230413124903570.jpg', 'path': 2, 'checksum': '309c0d0754108fdeb1b03b72d57d6f32', 'status': 'downloaded'}]",Buceo, U$S 178.000,3,"Apartamento de 3 dormitorios, TOTALMENTE reciclado!",https://www.gallito.com.uy/apartamento-de-3-dormitorios-totalmente-reciclado-inmuebles-23608954
36 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.062961,Venta,5,https://imagenes.gallito.com/1024x768/48999955.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48999955.jpg', 'path': 5, 'checksum': '359352f22f8a95064ae787439d2155fb', 'status': 'downloaded'}]",Otros, U$S 116.000,1,APARTAMENTO LA AGUADA VENTA 1 DORMITORIO AGRACIADA Y GRAL.,https://www.gallito.com.uy/apartamento-la-aguada-venta-1-dormitorio-agraciada-y-gral-inmuebles-21703775
250 Mts,3 Baños,Apartamento,2023-06-05 20:16:58.964697,Venta,3,https://imagenes.gallito.com/1024x768/40964138.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/40964138.jpg', 'path': 3, 'checksum': '04bef40fba7aaea244aeb65f4430e86f', 'status': 'downloaded'}]",Carrasco, U$S 690.000,3,APARTAMENTO PLANTA BAJA FONDO CON PARRILLERO,https://www.gallito.com.uy/apartamento-planta-baja-fondo-con-parrillero-inmuebles-22094950
150 Has.,Más de 3 baños,Apartamento,2023-06-05 20:16:59.040334,Venta,4,https://imagenes.gallito.com/1024x768/190506151759280.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/190506151759280.jpg', 'path': 4, 'checksum': '82c1f7ae052ca08e6cd8f6bb8c8f4ffc', 'status': 'downloaded'}]",Carrasco, U$S 450.000,3,"Como una casa,amplio,estufa a leña,2 garajes",https://www.gallito.com.uy/como-una-casa-amplio-estufa-a-le%C3%B1a-2-garajes-inmuebles-15477596
73 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.264380,Venta,11,https://imagenes.gallito.com/1024x768/48775009.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48775009.jpg', 'path': 11, 'checksum': 'cd3ac43e6e7d4fa4a4ee11bfc92482b4', 'status': 'downloaded'}]",Villa Muñoz, U$S 142.800,2,Venta apto 2 dor y parrillero Villa Muñoz,https://www.gallito.com.uy/venta-apto-2-dor-y-parrillero-villa-mu%C3%B1oz-inmuebles-23777764
182 Mts,Más de 3 baños,Apartamento,2023-06-05 20:16:59.309439,Venta,13,https://imagenes.gallito.com/1024x768/220623162002940.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220623162002940.jpg', 'path': 13, 'checksum': 'f9e272ce50b573d1acd4e03e72b18deb', 'status': 'downloaded'}]",Pocitos, U$S 420.000,4,A METROS DE LA RAMBLA Y BR. ESPAÑA. VISTA LATERAL A LA PLAYA,https://www.gallito.com.uy/a-metros-de-la-rambla-y-br-espa%C3%B1a-vista-lateral-a-la-playa-inmuebles-22061464
53 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.246836,Venta,10,https://imagenes.gallito.com/1024x768/45132071.jpeg,"[{'url': 'https://imagenes.gallito.com/1024x768/45132071.jpeg', 'path': 10, 'checksum': '8e5d4d838697bd756b4fc74465a51e32', 'status': 'downloaded'}]",Tres Cruces, U$S 150.000,2,Apartamento Venta en Tres Cruces,https://www.gallito.com.uy/apartamento-venta-en-tres-cruces-inmuebles-22896022
40 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.282103,Venta,12,https://imagenes.gallito.com/1024x768/46934307.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46934307.jpg', 'path': 12, 'checksum': 'efedc0507987f432f5bb8db886e04f80', 'status': 'downloaded'}]",Malvin, U$S 175.000,1,Sobre rambla 1 dormitorio garaje,https://www.gallito.com.uy/sobre-rambla-1-dormitorio-garaje-inmuebles-22956247
44 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.211912,Venta,8,https://imagenes.gallito.com/1024x768/230324145806680.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230324145806680.jpg', 'path': 8, 'checksum': 'c307a7560e47f70eb94144d17029e1ba', 'status': 'downloaded'}]",Buceo, U$S 195.000,1,VENTA - APARTAMENTO 1 DORMITORIO CON TERRAZA - BUCEO,https://www.gallito.com.uy/venta-apartamento-1-dormitorio-con-terraza-buceo-inmuebles-23518171
122 Mts,2 Baños,Apartamento,2023-06-05 20:16:59.190922,Venta,7,https://imagenes.gallito.com/1024x768/34283658.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/34283658.jpg', 'path': 7, 'checksum': '04d3538b17175fb12939f31466a8e304', 'status': 'downloaded'}]",Punta Del Este, U$S 550.000,2,Primera línea en playa mansa,https://www.gallito.com.uy/primera-linea-en-playa-mansa-inmuebles-20107243
160 Mts,3 Baños,Apartamento,2023-06-05 20:16:59.408586,Venta,14,https://imagenes.gallito.com/1024x768/230513003109440.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230513003109440.jpg', 'path': 14, 'checksum': '1ab188288991db962b1da5f3aed92acf', 'status': 'downloaded'}]",Villa Biarritz, U$S 396.000,3,BAJO! EXCELENTE APTO EN VILLA BIARRITZ,https://www.gallito.com.uy/bajo-excelente-apto-en-villa-biarritz-inmuebles-23748671
43 Mts,1,Apartamento,2023-06-05 20:16:59.435252,Venta,15,https://imagenes.gallito.com/1024x768/200423171928350.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/200423171928350.jpg', 'path': 15, 'checksum': '24a116dd5ed4423d75b29d486caa648a', 'status': 'downloaded'}]",Pocitos, U$S 128.500,0,Venta de excelente monoambiente al frente 43 m2,https://www.gallito.com.uy/venta-de-excelente-monoambiente-al-frente-43-m2-inmuebles-17359916
49 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.460798,Venta,16,https://imagenes.gallito.com/1024x768/230524164213070.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230524164213070.jpg', 'path': 16, 'checksum': '63702e4bac4ca31bc07ad61119505082', 'status': 'downloaded'}]",Cordon, U$S 115.000,2,A media cuadra de 18 de julio!,https://www.gallito.com.uy/a-media-cuadra-de-18-de-julio-inmuebles-23524833
177 Mts,2 Baños,Casa,2023-06-05 20:16:59.528772,Venta,19,https://imagenes.gallito.com/1024x768/49183712.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49183712.jpg', 'path': 19, 'checksum': '1b589b572a3531d0245c69ca56a31dbb', 'status': 'downloaded'}]",Parque Batlle, U$S 395.000,4,"¡Lindo fondo, 5 dormitorios, ideal empresa o familia numero",https://www.gallito.com.uy/lindo-fondo-5-dormitorios-ideal-empresa-o-familia-numero-inmuebles-23867718
80 Mts,2 Baños,Apartamento,2023-06-05 20:16:59.563619,Venta,21,https://imagenes.gallito.com/1024x768/46443594.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46443594.jpg', 'path': 21, 'checksum': 'afd24ce5eadaddf4abbae36a7b2064c9', 'status': 'downloaded'}]",Punta Del Este, U$S 220.000,2,"mansa, parrillero, servicios",https://www.gallito.com.uy/mansa-parrillero-servicios-inmuebles-20067237
56 Mts,1 Baños,Apartamento,2023-06-05 20:16:59.644397,Venta,23,https://imagenes.gallito.com/1024x768/230510162358320.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230510162358320.jpg', 'path': 23, 'checksum': 'a9908942637f75b02122d1ff7eda48ca', 'status': 'downloaded'}]",Union, U$S 89.000,2,"Buena inversión, Sin G.C. 2 dormitorios, patio y parrillero",https://www.gallito.com.uy/buena-inversion-sin-gc-2-dormitorios-patio-y-parrillero-inmuebles-23740240
