area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
65 Has.,1 Baños,Apartamento,2023-06-03 18:02:45.830687,Venta,,https://imagenes.gallito.com/1024x768/211006201432040.jpg,,Malvin Norte, U$S 65.000,2,"Vendo ap 2dorm sobre CaminoCarrasco U$ 65000,reja perimetral",https://www.gallito.com.uy/vendo-ap-2dorm-sobre-caminocarrasco-us-65000-reja-perimetral-inmuebles-20580231
42 Mts,1 Baños,Apartamento,2023-06-03 18:02:45.848827,Venta,,https://imagenes.gallito.com/1024x768/img_nodisponible.jpg,,Pocitos, U$S 178.000,1,Excelente a pasos de la playa.,https://www.gallito.com.uy/excelente-a-pasos-de-la-playa-inmuebles-23855981
52 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.038542,Venta,,https://imagenes.gallito.com/1024x768/48359476.jpg,,Malvin, U$S 139.000,1,Vendo apartamento de 1 dormitorio en Malvin,https://www.gallito.com.uy/vendo-apartamento-de-1-dormitorio-en-malvin-inmuebles-22018674
94 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.058420,Venta,,https://imagenes.gallito.com/1024x768/47861565.jpg,,Carrasco, U$S 325.000,2,Venta de Apartamento en PARQUE MIRAMAR,https://www.gallito.com.uy/venta-de-apartamento-en-parque-miramar-inmuebles-22841453
85 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.376572,Venta,,https://imagenes.gallito.com/1024x768/46699883.jpg,,Punta Del Este, U$S 339.000,2,"Apartamento de dos dormitorios a pasos de Playa Mansa, Gala",https://www.gallito.com.uy/apartamento-de-dos-dormitorios-a-pasos-de-playa-mansa-gala-inmuebles-22345085
160 Mts,3 Baños,Apartamento,2023-06-03 18:02:46.392551,Alquiler,,https://imagenes.gallito.com/1024x768/48676827.jpg,,Pinares, U$S 1.000,3,SE ALQUILA POR INVIERNO !! PENT HOUSE !! 3 DORMITORIOS !! P,https://www.gallito.com.uy/se-alquila-por-invierno-pent-house-3-dormitorios-p-inmuebles-23424778
59 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.413570,Venta,,https://imagenes.gallito.com/1024x768/48473413.jpg,,Pocitos, U$S 194.000,2,Venta apartamento de dos dormitorios a estrenar. Pocitos,https://www.gallito.com.uy/venta-apartamento-de-dos-dormitorios-a-estrenar-pocitos-inmuebles-21218608
135 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.434980,Venta,,https://imagenes.gallito.com/1024x768/48994181.jpg,,Otros, U$S 220.000,3,PARODI VENTA APARTAMENTO CENTRO 3 DORMITORIOS SERVICIO GARA,https://www.gallito.com.uy/parodi-venta-apartamento-centro-3-dormitorios-servicio-gara-inmuebles-23504729
155 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.451371,Venta,,https://imagenes.gallito.com/1024x768/48829147.jpg,,Punta Gorda, U$S 294.433,3,"Venta 3 dorm con balcón y terraza, Punta Gorda",https://www.gallito.com.uy/venta-3-dorm-con-balcon-y-terraza-punta-gorda-inmuebles-22884885
41 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.476800,Alquiler,,https://imagenes.gallito.com/1024x768/48180790.jpg,,Malvin, $U 30.000,1,Alquiler Apartamento Malvin A Metros De Rambla,https://www.gallito.com.uy/alquiler-apartamento-malvin-a-metros-de-rambla-inmuebles-23627562
65 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.507628,Venta,,https://imagenes.gallito.com/1024x768/230405173525860.jpg,,Colon, U$S 48.000,3,Dueño vende Apartamento 3 D -SIN DEUDA - EXCELENTE UBICACIÓN,https://www.gallito.com.uy/due%C3%B1o-vende-apartamento-3-d-sin-deuda-excelente-ubicacion-inmuebles-23564522
337 Mts,Más de 3 baños,Apartamento,2023-06-03 18:02:46.532843,Alquiler,,https://imagenes.gallito.com/1024x768/48845888.jpg,,Golf, U$S 5.000,3,"FRENTE AL GOLF Soñado y de categoría, vistas únicas, 3 gges",https://www.gallito.com.uy/frente-al-golf-so%C3%B1ado-y-de-categoria-vistas-unicas-3-gges-inmuebles-22185031
110 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.631989,Venta,,https://imagenes.gallito.com/1024x768/220809131132170.jpg,,Pocitos, U$S 300.000,4,AVDA BRASIL 3 DORM 2 BAÑOS GGE,https://www.gallito.com.uy/avda-brasil-3-dorm-2-ba%C3%B1os-gge-inmuebles-22346963
60 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.654960,Alquiler,,https://imagenes.gallito.com/1024x768/230601215520240.jpg,,Pocitos, $U 30.000,2,Apartamento Alquiler Pocitos 2 Dormitorios Gge,https://www.gallito.com.uy/apartamento-alquiler-pocitos-2-dormitorios-gge-inmuebles-23847101
76 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.676972,Venta,,https://imagenes.gallito.com/1024x768/48563134.jpg,,Centro, U$S 165.130,2,"Venta Apartamento 2 Dormitorios, 01 Del Centro",https://www.gallito.com.uy/venta-apartamento-2-dormitorios-01-del-centro-inmuebles-23720867
55 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.692758,Alquiler,,https://imagenes.gallito.com/1024x768/48889303.jpg,,Prado, $U 22.000,1,Apartamento - Prado,https://www.gallito.com.uy/apartamento-prado-inmuebles-23695579
29 Mts,1,Apartamento,2023-06-03 18:02:46.709081,Alquiler,,https://imagenes.gallito.com/1024x768/230529114615400.jpg,,Pocitos, $U 18.500,0,ALQUILER MONOAMBINTE EN POCITOS,https://www.gallito.com.uy/alquiler-monoambinte-en-pocitos-inmuebles-23831915
50 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.720846,Venta,,https://imagenes.gallito.com/1024x768/230516184343260.jpg,,Centro, U$S 123.500,2,Dueña vende apartamento impecable Vivienda u Oficina,https://www.gallito.com.uy/due%C3%B1a-vende-apartamento-impecable-vivienda-u-oficina-inmuebles-23767630
98 Mts,2 Baños,Apartamento,2023-06-03 18:02:46.738700,Venta,,https://imagenes.gallito.com/1024x768/230601132650680.jpg,,Palermo, U$S 280.000,3,Ambientes Fte al Mar! Excelente Vista! 3 Dorm+Estar.  Garaje,https://www.gallito.com.uy/ambientes-fte-al-mar-excelente-vista-3-dormestar-garaje-inmuebles-23846531
65 Mts,1 Baños,Apartamento,2023-06-03 18:02:46.751271,Alquiler,,https://imagenes.gallito.com/1024x768/48890262.jpg,,Union, $U 26.000,3,Apartamento en Unión,https://www.gallito.com.uy/apartamento-en-union-inmuebles-23695701
